CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
UMA,GAL,NGC3945,UGC 6860         ,11 53.2,+60 40,10.9,6.4,4.2,NGC,,,,,
UMA,GAL,NGC3953,UGC 6870         ,11 53.8,+52 19,10.1,6.9,3.6,NGC,,,,,
UMA,GAL,NGC3992,M109,11 57.6,+53 22,9.8,7.5,4.4,NGC,,,,,
UMA,GAL,NGC4605,FABERGE EGG GALAXY,12 40.0,+61 36,10.9,5.8,2.2,NGC,,,,,
UMA,GAL,NGC5457,M101 PINWHEEL GALAXY,14 03.2,+54 21,7.9,28.5,28.3,NGC,,,,,
VIR,GAL,NGC4216,SILVER STREAK GALAXY,12 15.9,+13 09,10,7.8,1.8,NGC,,,,,
VIR,GAL,NGC4303,M61 SWELLING SPIRAL,12 21.9,+04 28,9.6,6.5,5.9,NGC,,,,,
VIR,GAL,NGC4374,M84,12 25.1,+12 53,9.1,6.7,6.0,NGC,,,,,
VIR,GAL,NGC4406,M86,12 26.2,+12 57,8.9,9.8,6.3,NGC,,,,,
VIR,GAL,NGC4435,"UGC 7575/The ""Eyes"" , COPELAND'S EYES",12 27.7,+13 05,10.8,3.0,2.2,NGC,,,,,
VIR,GAL,NGC4438,"UGC 7574/The ""Eyes"" , COPELAND'S EYES""   ",12 27.8,+13 00,10.2,8.5,3.0,NGC,,,,,
VIR,GAL,NGC4472,M49,12 29.8,+08 00,8.4,9.8,8.2,NGC,,,,,
VIR,GAL,NGC4486,M87,12 30.8,+12 23,8.6,8.7,6.6,NGC,,,,,
VIR,GAL,NGC4517,4437,12 32.8,+00 07,10.4,10.2,1.7,NGC,,,,,
VIR,GAL,NGC4526,HAIRY EYEBROW GALAXY,12 34.0,+07 42,9.7,7.0,2.5,NGC,,,,,
VIR,GAL,NGC4535,UGC 7727/The Lost Galaxy of Copeland    ,12 34.3,+08 12,10,6.9,5.4,NGC,,,,,
VIR,GAL,NGC4536,UGC 7732         ,12 34.4,+02 11,10.6,7.1,3.1,NGC,,,,,
VIR,GAL,NGC4552,M89,12 35.7,+12 33,9.8,5.3,4.8,NGC,,,,,
VIR,GAL,NGC4567,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.5,+11 15,11.3,3.1,2.2,NGC,,,,,
VIR,GAL,NGC4568,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.6,+11 14,10.8,4.6,2.2,NGC,,,,,
VIR,GAL,NGC4569,M90,12 36.8,+13 10,9.5,9.9,4.4,NGC,,,,,
VIR,GAL,NGC4579,M58,12 37.7,+11 49,9.7,6.0,4.8,NGC,,,,,
VIR,GAL,NGC4594,M104 SOMBRERO GALAXY,12 40.0,-11 37,8,8.6,4.2,NGC,,,,,
VIR,GAL,NGC4621,M59,12 42.0,+11 39,9.6,5.3,4.0,NGC,,,,,
VIR,GAL,NGC4649,M60,12 43.7,+11 33,8.8,7.6,6.2,NGC,,,,,
VIR,GAL,NGC4666,UGC 7926         ,12 45.1,-00 28,10.7,4.5,1.4,NGC,,,,,
VIR,GAL,NGC4699,VINYL LP GALAXY,12 49.0,-08 40,9.5,3.8,2.8,NGC,,,,,
VIR,GAL,NGC5054,MCG - 3-34- 39    ,13 17.0,-16 38,10.9,5.1,2.8,NGC,,,,,
VIR,GAL,NGC5363,near 5364,13 56.1,+05 15,10.1,4.0,2.5,NGC,,,,,
VIR,GAL,NGC5364,near 5363,13 56.2,+05 01,11.2,6.7,5.4,NGC,,,,,
VIR,GC,NGC5634,,14 29.6,-05 59,9.5,5.5,5.5,NGC,,,,,
VIR,GAL,NGC5746,"BLADE&PEARL GALAXY, The Mini Sombrero",14 44.9,+01 57,10.3,6.9,1.2,NGC,,,,,
VIR,GAL,NGC5846,,15 06.5,+01 36,10,4.9,4.4,NGC,,,,,
VUL,OC,NGC6802,OCL  114          ,19 30.6,+20 16,8.8,5.0,5.0,NGC,,,,,
VUL,CL+N,NGC6820,LBN  135   w/6823 cluster       ,19 43.1,+23 17,15,40.0,30.0,NGC,,,,,
VUL,OC,NGC6823,OCL  124          ,19 43.2,+23 18,7.1,7.0,7.0,NGC,,,,,
VUL,OC,NGC6830,POODLE CLUSTER,19 51.0,+23 06,7.9,6.0,6.0,NGC,,,,,
VUL,PN,NGC6853,M27 DUMBBELL NEBULA,19 59.6,+22 43,7.3,8.0,5.67,NGC,,,,,
VUL,OC,NGC6885=6882=Collinder416,OCL  152/20 Vulpeculae Cluster       ,20 12.0,+26 29,8.1,20.0,20.0,NGC,,,,,
VUL,OC,NGC6940,MOTHRA CLUSTER,20 34.5,+28 17,6.3,25.0,25.0,NGC,,,,,
