CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
CMA,OC,NGC2374,OCL  585          ,07 23.9,-13 16,8,12.0,12.0,NGC,,,,,
CNC,OC,NGC2682,M67 KING COBRA CLUSTER,08 51.3,+11 49,6.9,25.0,25.0,NGC,,,,,
COM,GC,NGC4147,,12 10.1,+18 33,10.4,4.4,4.4,NGC,,,,,
COM,GAL,NGC4192,M98,12 13.8,+14 54,10.1,9.4,2.3,NGC,,,,,
COM,GAL,NGC4254,M99/St.Katherine's Wheel/COMA PINWHEEL,12 18.8,+14 25,9.9,5.3,4.6,NGC,,,,,
COM,GAL,NGC4274,UGC 7377         ,12 19.8,+29 37,10.4,6.8,2.4,NGC,,,,,
COM,GAL,NGC4278,UGC 7386         ,12 20.1,+29 17,10.2,4.0,3.9,NGC,,,,,
COM,GAL,NGC4314,UGC 7443         ,12 22.5,+29 54,10.6,3.9,3.7,NGC,,,,,
COM,GAL,NGC4321,M100 THE MIRROR GALAXY,12 22.9,+15 49,9.4,7.5,6.1,NGC,,,,,
COM,GAL,NGC4382,M85,12 25.4,+18 11,9.1,7.4,5.9,NGC,,,,,
COM,GAL,NGC4414,UGC 7539         ,12 26.5,+31 13,10.1,3.6,2.0,NGC,,,,,
COM,GAL,NGC4450,UGC 7594         ,12 28.5,+17 05,10.1,5.4,4.1,NGC,,,,,
COM,GAL,NGC4494,UGC 7662         ,12 31.4,+25 46,9.8,4.5,4.3,NGC,,,,,
COM,GAL,NGC4501,M88,12 32.0,+14 25,9.6,6.8,3.7,NGC,,,,,
COM,GAL,NGC4548,M91,12 35.4,+14 30,10.1,5.2,4.2,NGC,,,,,
COM,GAL,NGC4559,UGC 7766/KOI FISH GAL.      ,12 36.0,+27 58,10,11.0,4.9,NGC,,,,,
COM,GAL,NGC4565,THE NEEDLE GALAXY/FLYING SAUCER GALAXY,12 36.3,+25 59,9.6,14.9,2.0,NGC,,,,,
COM,GAL,NGC4710,UGC 7980         ,12 49.6,+15 10,11,4.9,1.6,NGC,,,,,
COM,GAL,NGC4725,UGC 7989 /TI-FIGHTER GAL        ,12 50.4,+25 30,9.4,10.4,7.2,NGC,,,,,
COM,GAL,NGC4826,M64 BLACK EYE GALAXY/SLEEPING BEAUTY GAL.,12 56.7,+21 41,8.5,10.3,5.0,NGC,,,,,
COM,GC,NGC5024,M53,13 12.9,+18 10,7.7,13.0,13.0,NGC,,,,,
COM,GC,NGC5053,,13 16.5,+17 42,9,10.0,10.0,NGC,,,,,
CRA,BN,NGC6726,ESO 396-N13       ,19 01.7,-36 53,?,2.0,2.0,NGC,,,,,
CRT,GAL,NGC3511,ESO 502-13        ,11 03.4,-23 05,11,6.0,2.1,NGC,,,,,
CRT,GAL,NGC3672,MCG - 2-29- 28    ,11 25.0,-09 48,11.4,4.0,1.8,NGC,,,,,
CRT,GAL,NGC3887,MCG - 3-30- 12    ,11 47.1,-16 51,10.6,3.5,2.7,NGC,,,,,
CRT,GAL,NGC3955,ESO 504-26        ,11 54.0,-23 10,11.9,3.1,1.0,NGC,,,,,
CRT,GAL,NGC3962,MCG - 2-30- 40    ,11 54.7,-13 59,10.7,3.4,2.8,NGC,,,,,
CRV,GAL,NGC4027,ESO 572-37        ,11 59.5,-19 16,11.1,3.3,2.4,NGC,,,,,
CRV,GAL,NGC4038,Antennae/RINGTAIL GALAXIES/MOSQUITO LARVAE/PUPA/COMMA GALS,12 01.9,-18 52,10.3,3.4,2.0,NGC,,,,,
CRV,GAL,NGC4039,Antennae/RINGTAIL GALAXIES/MOSQUITO LARVAE/PUPA/COMMA GALS,12 01.9,-18 53,10.6,3.3,1.7,NGC,,,,,
CRV,PN,NGC4361,"ESO 573-PN19 ,LAWN SPRINKLER""    ",12 24.5,-18 47,10.9,1.33,1.33,NGC,,,,,
CRV,GAL,NGC4782,MCG - 2-33- 50    ,12 54.6,-12 34,11.7,2.3,1.3,NGC,,,,,
