CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Cep,OC,NGC7160,THE BRUCE LEE CLUSTER,21 53.7,+62 36,6.1,5.0,5.0,NGC,7160,NGC 7160,,,7160,OCl,True
Cep,OC,Berkeley94,                  ,22 22.9,+55 53,8.7,3.0,3.0,Berkeley,94,Berkeley 94,,,94,OCl,True
Cep,OC,NGC7380,OCL  244          ,22 47.4,+58 08,7.2,20.0,20.0,NGC,7380,NGC 7380,,,7380,OCl,True
Cep,OC,King10,                  ,22 55.0,+59 10,?,4.0,4.0,King,10,King 10,,,10,OCl,True
Cep,OC,NGC7423,Berkeley   57          ,22 55.1,+57 06,15,5.0,5.0,NGC,7423,NGC 7423,,,7423,OCl,True
Cep,OC,NGC7510,THE DORMOUSE CLUSTER/The Arrowhead cluster,23 11.1,+60 34,7.9,7.0,7.0,NGC,7510,NGC 7510,,,7510,OCl,True
Cep,OC,NGC7762,OCL  280          ,23 49.9,+68 01,10,15.0,15.0,NGC,7762,NGC 7762,,,7762,OCl,True
Cet,GAL,NGC157,MCG - 2- 2- 56    ,00 34.8,-08 24,10.4,4.1,2.7,NGC,157,NGC 157,,,157,G,True
Cet,PN,NGC246,SKULL NEBULA/The Soap Bubble Nebula/VOODOO MASK,00 47.1,-11 52,8.5,4.0,3.5,NGC,246,NGC 246,,,246,PN,True
Cet,GAL,NGC247,ESO 540-22        ,00 47.1,-20 46,9.1,21.0,5.6,NGC,247,NGC 247,,,247,G,True
Cet,GAL,NGC578,ESO 476-15        ,01 30.5,-22 40,10.9,4.8,3.0,NGC,578,NGC 578,,,578,G,True
Cet,GAL,NGC584,LITTLE SPINDLE GALAXY,01 31.3,-06 52,10.4,3.8,2.4,NGC,584,NGC 584,,,584,G,True
Cet,GAL,NGC864,UGC 1736         ,02 15.5,+06 00,10.9,4.7,3.2,NGC,864,NGC 864,,,864,G,True
Cet,GAL,NGC908,ESO 545-11        ,02 23.1,-21 14,10.2,6.1,2.7,NGC,908,NGC 908,,,908,G,True
Cet,GAL,NGC955,UGC 1986         ,02 30.6,-01 07,12,2.9,0.9,NGC,955,NGC 955,,,955,G,True
Cet,GAL,NGC1068,M77,02 42.7,-00 01,8.9,7.3,6.3,M,77,M 77,,M 77,77,G,True
Cet,GAL,NGC1087,UGC 2245         ,02 46.4,-00 30,10.9,3.9,2.3,NGC,1087,NGC 1087,,,1087,G,True
Cma,OC,NGC2204,OCL  572          ,06 15.5,-18 40,8.6,10.0,10.0,NGC,2204,NGC 2204,,,2204,OCl,True
Cma,GAL,NGC2207,ESO 556- 8        ,06 16.4,-21 22,10.8,4.2,2.6,NGC,2207,NGC 2207,,,2207,G,True
Cma,GAL,IC2163,colliding w/2207,06 16.5,-21 23,11.6,3.0,1.2,IC,2163,IC 2163,IC 2163,,2163,G,True
Cma,GAL,NGC2217,ESO 489-42        ,06 21.7,-27 14,10.7,4.7,4.3,NGC,2217,NGC 2217,,,2217,G,True
Cma,OC,NGC2287,M41 LITTLE BEEHIVE CLUSTER,06 46.1,-20 46,4.5,39.0,39.0,M,41,M 41,,M 41,41,OCl,True
Cma,OC,NGC2345,OCL  575          ,07 08.3,-13 12,7.7,12.0,12.0,NGC,2345,NGC 2345,,,2345,OCl,True
Cma,OC,NGC2354,OCL  639          ,07 14.3,-25 42,6.5,18.0,18.0,NGC,2354,NGC 2354,,,2354,OCl,True
Cma,OC,NGC2360,OCL  589          ,07 17.7,-15 38,7.2,14.0,14.0,NGC,2360,NGC 2360,,,2360,OCl,True
Cma,BN,NGC2359,"LBN 1041/Thor's Helmet, The Whistle, IC468,DUCK NEB,WHISTLE NEB,HEAD & SHOULDERS NEB.",07 18.5,-13 14,10,13.0,11.0,NGC,2359,NGC 2359,,,2359,Neb,True
Cma,OC,NGC2362,"Mexican Jumping Star Cluster/PIRATE'S JEWELS,NORTHERN JEWEL BOX,ARKENSTONE,",07 18.7,-24 57,3.8,6.0,6.0,NGC,2362,NGC 2362,,,2362,OCl,True
Cma,OC,NGC2374,OCL  585          ,07 23.9,-13 16,8,12.0,12.0,NGC,2374,NGC 2374,,,2374,OCl,True
Cnc,OC,NGC2682,M67 KING COBRA CLUSTER,08 51.3,+11 49,6.9,25.0,25.0,M,67,M 67,,M 67,67,OCl,True
Com,GC,NGC4147,nan,12 10.1,+18 33,10.4,4.4,4.4,NGC,4147,NGC 4147,,,4147,GCl,True
Com,GAL,NGC4192,M98,12 13.8,+14 54,10.1,9.4,2.3,M,98,M 98,,M 98,98,G,True
Com,GAL,NGC4254,M99/St.Katherine's Wheel/COMA PINWHEEL,12 18.8,+14 25,9.9,5.3,4.6,M,99,M 99,,M 99,99,G,True
Com,GAL,NGC4274,UGC 7377         ,12 19.8,+29 37,10.4,6.8,2.4,NGC,4274,NGC 4274,,,4274,G,True
Com,GAL,NGC4278,UGC 7386         ,12 20.1,+29 17,10.2,4.0,3.9,NGC,4278,NGC 4278,,,4278,G,True
Com,GAL,NGC4314,UGC 7443         ,12 22.5,+29 54,10.6,3.9,3.7,NGC,4314,NGC 4314,,,4314,G,True
Com,GAL,NGC4321,M100 THE MIRROR GALAXY,12 22.9,+15 49,9.4,7.5,6.1,M,100,M 100,,M 100,100,G,True
Com,GAL,NGC4382,M85,12 25.4,+18 11,9.1,7.4,5.9,M,85,M 85,,M 85,85,G,True
Com,GAL,NGC4414,UGC 7539         ,12 26.5,+31 13,10.1,3.6,2.0,NGC,4414,NGC 4414,,,4414,G,True
Com,GAL,NGC4450,UGC 7594         ,12 28.5,+17 05,10.1,5.4,4.1,NGC,4450,NGC 4450,,,4450,G,True
Com,GAL,NGC4494,UGC 7662         ,12 31.4,+25 46,9.8,4.5,4.3,NGC,4494,NGC 4494,,,4494,G,True
Com,GAL,NGC4501,M88,12 32.0,+14 25,9.6,6.8,3.7,M,88,M 88,,M 88,88,G,True
Com,GAL,NGC4548,M91,12 35.4,+14 30,10.1,5.2,4.2,M,91,M 91,,M 91,91,G,True
Com,GAL,NGC4559,UGC 7766/KOI FISH GAL.      ,12 36.0,+27 58,10,11.0,4.9,NGC,4559,NGC 4559,,,4559,G,True
Com,GAL,NGC4565,THE NEEDLE GALAXY/FLYING SAUCER GALAXY,12 36.3,+25 59,9.6,14.9,2.0,NGC,4565,NGC 4565,,,4565,G,True
Com,GAL,NGC4710,UGC 7980         ,12 49.6,+15 10,11,4.9,1.6,NGC,4710,NGC 4710,,,4710,G,True
