Name normalized,Catalog,Name,Name (no leading zero),Name (final),NGC/ID,Type,Common Name,Mag,RA,Dec,Width ('),Height ('),IC,IC name,NGC,NGC name,mike
IC 4954,IC,IC 4954,IC 4954,IC 4954,I4954,Nb,,,20:04:48,29.25,25.0,25.0,4954,IC 4954,,,True
IC 5068,IC,IC 5068,IC 5068,IC 5068,I5068,Nb,,,20:50:48,42.52,80.0,80.0,5068,IC 5068,,,True
IC 5070,IC,IC 5070,IC 5070,IC 5070,I5070,Nb,Pelican nebula,,20:50:48,44.35,80.0,80.0,5070,IC 5070,,,True
M 45,Messier,M 045,M 45,M 45,,Oc,Pleiades,1.6,03:07:00,24.12,110.0,110.0,,,,,True
NGC 55,Caldwell,C 072,C 72,C 72,55,Sb,,8.2,00:14:54,-39.18,32.0,6.0,,,55,NGC 55,True
NGC 104,Caldwell,C 106,C 106,C 106,104,Gc,47 Tucanae,4,00:24:06,-72.08,31.0,31.0,,,104,NGC 104,True
NGC 129,NGC,NGC 129,NGC 129,NGC 129,129,OC,,6,00:29:54,60.23,21.0,21.0,,,129,NGC 129,True
M 31,Messier,M 031,M 31,M 31,224,Sp,Andromeda Galaxy,3.4,00:01:48,41.27,178.0,63.0,,,224,NGC 224,True
NGC 247,Caldwell,C 062,C 62,C 62,247,Sp,,8.9,00:47:06,-20.77,20.0,7.0,,,247,NGC 247,True
NGC 281,NGC,NGC 281,NGC 281,NGC 281,281,C+N,,7,00:52:48,56.62,35.0,35.0,,,281,NGC 281,True
NGC 300,Caldwell,C 070,C 70,C 70,300,Sp,,8.1,00:54:54,-37.68,20.0,13.0,,,300,NGC 300,True
M 33,Messier,M 033,M 33,M 33,598,Sp,Triangulum Galaxy,5.7,01:03:54,30.65,73.0,45.0,,,598,NGC 598,True
NGC 752,Caldwell,C 028,C 28,C 28,752,Oc,,5.7,01:57:48,37.68,50.0,50.0,,,752,NGC 752,True
NGC 869,NGC,NGC 869,NGC 869,NGC 869 = C 14,869,OC,Double cluster,4,02:19:00,57.15,30.0,30.0,,,869,NGC 869,True
NGC 884,NGC,NGC 884,NGC 884,NGC 884 / C 14,884,OC,Double cluster,4,02:22:24,57.12,30.0,30.0,,,884,NGC 884,True
NGC 896,NGC,NGC 896,NGC 896,NGC 896,896,Nb,,,02:24:48,61.9,27.0,27.0,,,896,NGC 896,True
NGC 1027,NGC,NGC 1027,NGC 1027,NGC 1027,1027,OC,,6,02:42:42,61.55,20.0,20.0,,,1027,NGC 1027,True
