Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,CONST.,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG_500,MAX SZ,MIN SZ,Name catalog_500,Name number_500,Types_OpenNGC,Best_500,Notes
NGC6254,GCl,16:57:08.99,-04:05:57.6,Oph,9.3,,4.98,10,,,,M,6254,M 10,,,10.0,,,,,,,,,,,,,,,,,,Oph,NGC6254,M10,16 57.1,-04 06,6.6,20.0,20.0,M,10.0,GCl,True,large_dso
NGC5457,G,14:03:12.54,+54:20:56.2,UMa,23.99,23.07,7.9,101,,,,M,5457,M 101,,,101.0,Messier,M 101,M 101,M 101,5457,Sp,Pinwheel Galaxy,7.9,14:03:12,54.35,22.0,22.0,,,5457.0,NGC 5457,True,Uma,NGC5457,M101 PINWHEEL GALAXY,14 03.2,+54 21,7.9,28.5,28.3,M,101.0,G,True,large_dso
NGC4258,G,12:18:57.50,+47:18:14.3,CVn,16.98,7.24,9.29,106,,,,M,4258,M 106,,,106.0,Messier,M 106,M 106,M 106,4258,Sp,,8.4,12:08:54,47.32,19.0,8.0,,,4258.0,NGC 4258,True,Cvn,NGC4258,M106,12 19.0,+47 18,8.4,17.4,6.6,M,106.0,G,True,large_dso
NGC0205,G,00:40:22.08,+41:41:07.1,And,16.22,9.59,8.15,110,,,,M,0205,M 110,,,110.0,,,,,,,,,,,,,,,,,,And,NGC205,M110,00 40.4,+41 41,8.1,19.5,11.5,M,110.0,G,True,large_dso
NGC6218,GCl,16:47:14.52,-01:56:52.2,Oph,11.1,,6.07,12,,,,M,6218,M 12,,,12.0,,,,,,,,,,,,,,,,,,Oph,NGC6218,M12,16 47.2,-01 57,6.1,16.0,16.0,M,12.0,GCl,True,large_dso
NGC6205,GCl,16:41:41.63,+36:27:40.7,Her,16.5,,5.8,13,,,Hercules Globular Cluster,M,6205,M 13,,,13.0,Messier,M 013,M 13,M 13,6205,Gc,Great Hercules Globular,5.8,16:01:42,36.47,16.6,16.6,,,6205.0,NGC 6205,True,Her,NGC6205,M13 HERCULES CLUST.(DARK LANES=THE PROPELLOR,16 41.7,+36 28,5.8,20.0,20.0,M,13.0,GCl,True,large_dso
NGC7078,GCl,21:29:58.38,+12:10:00.6,Peg,11.1,,6.3,15,,,,M,7078,M 15,,,15.0,,,,,,,,,,,,,,,,,,Peg,NGC7078,M15 PEGASUS CLUSTER,21 30.0,+12 10,6.3,18.0,18.0,M,15.0,GCl,True,large_dso
NGC6611,Neb,18:18:48.17,-13:48:26.0,Se2,120.0,25.0,6.0,16,,,Eagle Nebula,M,6611,M 16,,,16.0,NGC,NGC 6611,NGC 6611,NGC 6611 = M 16,6611,C+N,Eagle nebula,6,18:18:48,-12.22,35.0,35.0,,,6611.0,NGC 6611,True,Ser,NGC6611,M16 EAGLE NEBULA--the cluster,18 18.8,-13 47,6,8.0,8.0,M,16.0,OCl,True,large_dso
NGC6611,Neb,18:18:48.17,-13:48:26.0,Se2,120.0,25.0,6.0,16,,,Eagle Nebula,M,6611,M 16,,,16.0,NGC,NGC 6611,NGC 6611,NGC 6611 = M 16,6611,C+N,Eagle nebula,6,18:18:48,-12.22,35.0,35.0,,,6611.0,NGC 6611,True,Ser,IC4703(BN),M16 EAGLE NEBULA--the nebula/Star Queen Nebula,18 18.8,-13 50,?,28.0,17.0,M,16.0,Cl+N,True,large_dso
NGC6618,Neb,18:20:47.11,-16:10:17.5,Sgr,12.6,,7.0,17,,,"Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula",M,6618,M 17,,,17.0,NGC,NGC 6618,NGC 6618,NGC 6618 = M 17,6618,C+N,M  17,6,18:20:48,-15.82,46.0,46.0,,,6618.0,NGC 6618,True,Sgr,NGC6618,M17 SWAN NEB./OMEGA NEBULA/CHECKMARK NEB.,18 21.1,-16 11,6,27.0,27.0,M,17.0,Cl+N,True,large_dso
